date,assets_proxy_usd
2024-01-17 00:00:00,1940890476.0
2024-01-18 00:00:00,1886565121.0
2024-01-19 00:00:00,1866972422.0
2024-01-20 00:00:00,1884378296.0
2024-01-21 00:00:00,1857467012.0
2024-01-22 00:00:00,1863362065.0
2024-01-23 00:00:00,1739117127.0
2024-01-24 00:00:00,1700233800.0
2024-01-25 00:00:00,1689297632.0
2024-01-26 00:00:00,1659449345.0
2024-01-27 00:00:00,1707209594.0
2024-01-28 00:00:00,1706720824.0
2024-01-29 00:00:00,1701751808.0
2024-01-30 00:00:00,1842400499.0
2024-01-31 00:00:00,2065082373.0
2024-02-01 00:00:00,2101955072.0
2024-02-02 00:00:00,2127114801.0
2024-02-03 00:00:00,2150400882.0
2024-02-04 00:00:00,2141443175.0
2024-02-05 00:00:00,2125331965.0
2024-02-06 00:00:00,2187785707.0
2024-02-07 00:00:00,2223281072.0
2024-02-08 00:00:00,2259451405.0
2024-02-09 00:00:00,2251595794.0
2024-02-10 00:00:00,2316182505.0
2024-02-11 00:00:00,2314937620.0
2024-02-12 00:00:00,2325195522.0
2024-02-13 00:00:00,2499562758.0
2024-02-14 00:00:00,2742039063.0
2024-02-15 00:00:00,2917338065.0
2024-02-16 00:00:00,2951421784.0
2024-02-17 00:00:00,2939029735.0
2024-02-18 00:00:00,2917435140.0
2024-02-19 00:00:00,3013578026.0
2024-02-20 00:00:00,3026390914.0
2024-02-21 00:00:00,3145522352.0
2024-02-22 00:00:00,3082669206.0
2024-02-23 00:00:00,3095699726.0
2024-02-24 00:00:00,3016854203.0
2024-02-25 00:00:00,3069585601.0
2024-02-26 00:00:00,3191680842.0
2024-02-27 00:00:00,3284534047.0
2024-02-28 00:00:00,3358089224.0
2024-02-29 00:00:00,3580133230.0
2024-03-01 00:00:00,3522870492.0
2024-03-02 00:00:00,3641997089.0
2024-03-03 00:00:00,3652675160.0
2024-03-04 00:00:00,3741532258.0
2024-03-05 00:00:00,3927340465.0
2024-03-06 00:00:00,3840749948.0
2024-03-07 00:00:00,4025899029.0
2024-03-08 00:00:00,3977601646.0
2024-03-09 00:00:00,4047731477.0
2024-03-10 00:00:00,4046105525.0
2024-03-11 00:00:00,3807751544.0
2024-03-12 00:00:00,3941080928.0
2024-03-13 00:00:00,3577360319.0
2024-03-14 00:00:00,3612450442.0
2024-03-15 00:00:00,3463624706.0
2024-03-16 00:00:00,3276420536.0
2024-03-17 00:00:00,3013036578.0
2024-03-18 00:00:00,3133200930.0
2024-03-19 00:00:00,2928167846.0
2024-03-20 00:00:00,2629768469.0
2024-03-21 00:00:00,2971772598.0
2024-03-22 00:00:00,3061735584.0
2024-03-23 00:00:00,2875691357.0
2024-03-24 00:00:00,2851361338.0
2024-03-25 00:00:00,2899752080.0
2024-03-26 00:00:00,3036090257.0
2024-03-27 00:00:00,2901485240.0
2024-03-28 00:00:00,2835265572.0
2024-03-29 00:00:00,2899833937.0
2024-03-30 00:00:00,2915536113.0
2024-03-31 00:00:00,2955075843.0
2024-04-01 00:00:00,3059666819.0
2024-04-02 00:00:00,3013548121.0
2024-04-03 00:00:00,2618316229.0
2024-04-04 00:00:00,2662569018.0
2024-04-05 00:00:00,2644752821.0
2024-04-06 00:00:00,2654710736.0
2024-04-07 00:00:00,2681371878.0
2024-04-08 00:00:00,2739268165.0
2024-04-09 00:00:00,2886188918.0
2024-04-10 00:00:00,2791997576.0
2024-04-11 00:00:00,2872302154.0
2024-04-12 00:00:00,2835435961.0
2024-04-13 00:00:00,2629644506.0
2024-04-14 00:00:00,2507944703.0
2024-04-15 00:00:00,2640942482.0
2024-04-16 00:00:00,2574707221.0
2024-04-17 00:00:00,2557338096.0
2024-04-18 00:00:00,2378757099.0
2024-04-19 00:00:00,2412961652.0
2024-04-20 00:00:00,2387793445.0
2024-04-21 00:00:00,2447125621.0
2024-04-22 00:00:00,2376772063.0
2024-04-23 00:00:00,2389977997.0
2024-04-24 00:00:00,2392886322.0
2024-04-25 00:00:00,2308836182.0
2024-04-26 00:00:00,2319382929.0
2024-04-27 00:00:00,2291112004.0
2024-04-28 00:00:00,2355459925.0
2024-04-29 00:00:00,2373610741.0
2024-04-30 00:00:00,2317714375.0
2024-05-01 00:00:00,2211072936.0
2024-05-02 00:00:00,2225503767.0
2024-05-03 00:00:00,2197602141.0
2024-05-04 00:00:00,2311382553.0
2024-05-05 00:00:00,2320635205.0
2024-05-06 00:00:00,2335686818.0
2024-05-07 00:00:00,2250387585.0
2024-05-08 00:00:00,2165661198.0
2024-05-09 00:00:00,2089622592.0
2024-05-10 00:00:00,2158216289.0
2024-05-11 00:00:00,2068630100.0
2024-05-12 00:00:00,2077401651.0
2024-05-13 00:00:00,2085260876.0
2024-05-14 00:00:00,2106781067.0
2024-05-15 00:00:00,2060771794.0
2024-05-16 00:00:00,2171401977.0
2024-05-17 00:00:00,2124271239.0
2024-05-18 00:00:00,2224937044.0
2024-05-19 00:00:00,2240250370.0
2024-05-20 00:00:00,2211826120.0
2024-05-21 00:00:00,2561568636.0
2024-05-22 00:00:00,2632358555.0
2024-05-23 00:00:00,2576121883.0
2024-05-24 00:00:00,2617222539.0
2024-05-25 00:00:00,2685481148.0
2024-05-26 00:00:00,2684217267.0
2024-05-27 00:00:00,2779364092.0
2024-05-28 00:00:00,2828920871.0
2024-05-29 00:00:00,2783389250.0
2024-05-30 00:00:00,2722477110.0
2024-05-31 00:00:00,2777927535.0
2024-06-01 00:00:00,2808003074.0
2024-06-02 00:00:00,2957718459.0
2024-06-03 00:00:00,2949702661.0
2024-06-04 00:00:00,2937171564.0
2024-06-05 00:00:00,2973342529.0
2024-06-06 00:00:00,3067547471.0
2024-06-07 00:00:00,3035368215.0
